questionid	existing_question_id	questiontype	totalanswers	question	questionImage	answer1	answer1Image	answer2	answer2Image	answer3	answer3Image	answer4	answer4Image	answer5	answer5Image	correctanswer	hint	hintImage	difficultylevel	question_type	status	worksheet_id	assigned_worksheet_ids	topic	attempt_counter	section_name	section_marks	section	Rand
10389	0	SingleAnswer	4	Which of the following pane is not available in Task Pane?		Slide Design		Master Slide		Slide Layout		Slide Transition				b	Master slide pane is not available in Task Pane.				Active	C09MSPMAN12		N	0		1		1
32448	0	SingleAnswer	4	What moves one screen to the right?		Alt + Page Up		Arrow keys		Alt + F4		Alt + Page Down				a	Only Page Up moves one screen Up.				Active	C07MSEJYO21		N	0		1		2
43988	43988	SingleAnswer	4	<p>What is MIP?</p>		<p>Microphone</p>		<p>Microprocessor</p>		<p>Micro paper</p>		<p>Microspore</p>				b	<p>It is a Microprocessor.</p>				Active	C07EVOTAN12		Evolution Of Computers	0		1		2
58124	58124	SingleAnswer	4	<p>Which of the following is the main function of the transport layer?</p>		<p>Node to node delivery</p>		<p>End to end delivery</p>		<p>Synchronization</p>		<p>Updating and maintaining routing tables</p>		C		b	<p>The main function of the transport layer is end to end delivery.</p>				Active	C04COMJYO12		Computer Networks	0		1		2
59853	0	SingleAnswer	4	For the following questions choose the statement expressed correctly		Please buy the following at the grocery store peas milk ice cream bananas.		Please buy the following at the grocery store: peas, milk, ice cream and bananas.		Please buy the following at the grocery store: Peas, Milk, Ice cream and Bananas.		Please buy the following at the grocery store: peas and milk and ice cream and bananas.				b	Before starting the list colon (:) should be used and while stating the material in the list the items should be separated using commas.				Active	E05SPOSHE11		N	0		1		1
66259	0	SingleAnswer	4	<p>Growing children need more _______________ containing foods.</p>		<p>carbohydrate</p>		<p>fat</p>		<p>protein</p>		<p>mineral</p>		I		c	<p>Proteins are bodybuilding food items. Growing children need more protein-containing foods.</p>				Active	S03FOOPAL21		N	0		1		2
66631	0	SingleAnswer	4	<p>How many days does the moon take to go around the earth?</p>		<p>24 days</p>		<p>26 days</p>		<p>27.3 days</p>		<p>30 days</p>		F		c					Active	S04EARBHU22		N	0		1		2
82187	82187	<p>SingleAnswer</p>	4	<p>Find the perimeter of the&nbsp;shape given below. In rectangle ABCD, AB = 20 cm and BC = 14 cm. The&nbsp;perimeter of the circle AEDF is 22 cm.</p>	M04PERJYA12q29.png	<p>57 cm</p>		<p>65 cm</p>		<p>68 cm</p>		<p>None of the above</p>				d	<p>Perimeter of shape= AB + BC + CD + perimeter of circle</p> <p>P= 20 + 14 + 20 + 22= 76 cm</p>				Active	M04PERPAR21		Perimeter of Various Shapes	0		1		2
82497	0	SingleAnswer	4	<p>Solve:</p> <p>(4/2) &divide; (8/2) &divide; (16/2)</p>		<p>4</p>		<p>1/4</p>		<p>1/16</p>		<p>1/2</p>				c	<p>(4/2) &divide; (8/2) &divide; (16/2) = (4 x 2 x 2)/(2 x 8 x 16) = 1/16</p>				Active	M05FRAPAR12		N	0		1		2
92793	0	SingleAnswer	4	<p>The _____ are a symbol of the high culture of dynastic ancient Egypt.</p>		<p>Pyramids</p>		<p>Minars</p>		<p>Forts</p>		<p>Palace</p>				a	<p>The pyramids are a symbol of the high culture of dynastic ancient Egypt.</p>				Active	G03HISVIS12		N	0		1		2
