questionid	existing_question_id	questiontype	totalanswers	question	questionImage	answer1	answer1Image	answer2	answer2Image	answer3	answer3Image	answer4	answer4Image	answer5	answer5Image	correctanswer	hint	hintImage	difficultylevel	question_type	status	worksheet_id	assigned_worksheet_ids	topic	attempt_counter	section_name	section_marks	section
3401	0	SingleAnswer	4	Which of the following statements are correct?		Tissues ensure division of labor.		Most tissues in plants provide structural support.		The organ system is more complicated in animals than in plants.		All of the above				d	All the above-given statements are correct. Tissues are responsible for the division of labor among the different areas. Most of the tissues in plants provide structural support, along with carrying out other functions. The organ system is more complicated in animals than it is in plants.				Active	S09TISNID12		N	0		1	
4216	0	SingleAnswer	4	<p>Parts of alimentary canal includes all except one. Identify it.</p>		<p>Pancreas</p>		<p>Buccal cavity</p>		<p>Pharynx</p>		<p>Mouth</p>				a	<p>All the parts of alimentary canal except pancreas.</p>				Active	S10LIFNID12		N	0		1	
8446	0	SingleAnswer	4	<p>If February 1, 2004 is Friday, what day is on March 3, 2004?</p>		<p>Monday</p>		<p>Sunday</p>		<p>Saturday</p>		<p>Friday</p>				a	<p>2004 being a leap year, has 29 days in February so it is the 29 + 3=31st day. Therefore, as the remainder of 31/7 is 3, it is Monday.</p>		0		Active	L08ALPBHU22		N	0		1	
8708	0	SingleAnswer	4	K is 40 m South-West of L. If M is 40 m South-East of L, then M is in which direction of K?		East		West		North		South				a	Hence M is in the East of K.				Active	L09DIRBHU11		N	0		1	
8726	0	SingleAnswer	4	One morning after sunrise, Suresh was standing facing a pole. The shadow of the pole fell exactly to his right. To which direction was he facing?		North		West		South		East				c	Sun rises in the East in the morning. Since the shadow of Suresh falls to his right. So he is facing South.				Active	L09DIRBHU12		N	0		1	
10322	0	SingleAnswer	4	To configure dial-up networks with Windows XP, which applet should be used?		Network and Internet Connections		Network Neighborhood		Internet Connection Sharing		Remote Assistance				a	The network and Internet connections should be used to configure dial up with XP.				Active	C09VIRMAN12		N	0		1	
10389	0	SingleAnswer	4	Which of the following pane is not available in Task Pane?		Slide Design		Master Slide		Slide Layout		Slide Transition				b	Master slide pane is not available in Task Pane.				Active	C09MSPMAN12		N	0		1	
11676	0	SingleAnswer	4	<p>Choose the alternative which closely resembles the mirror image of the given combination:</p>	L04MIRBHU21q11.png	<p>1</p>		<p>2</p>		<p>3</p>		<p>4</p>				b			0		Active	L04MIRBHU21		N	0		1	
13268	0	SingleAnswer	4	<p>In the following question, find out which of the answer figures (1), (2), (3) and (4) completes the figure matrix.&nbsp;</p>	L06FIGVYS12q26.png	<p>2</p>		<p>1</p>		<p>4</p>		<p>3</p>				a	<p>After observing the first two columns, it can be found that the inner part of the second figure of each row is placed in third box.</p>				Active	L06FIGVYS12		N	0		1	
22059	0	SingleAnswer	4	Fit to be eaten.		Edible		Non-Edible		Blemish		Transform				a	Edible is something that can be eaten			Give a one word substitute for the following:	Active	E03SINSOU21		N	0		1	
24557	0	SingleAnswer	4	Soon he realized that because he __ working hard, he became happy and rich.		did start		has started		had started		None of the above				c	present perfect tense				Active	E03SIMVIM11		N	0		1	
24641	0	SingleAnswer	4	India __ my home country. I __ living here since birth.		was, was		was, had been		is, have been		None of the above				c	Simple present tense, present perfect tense.			Fill in the blanks with appropriate verb forms to make the sentence grammatically correct.	Active	E03SIMVIM22		N	0		1	
25852	0	<p>SingleAnswer</p>	4	<p>If from each of the 3 boxes containing 3 white and 1 black, 2 white and 2 black, 1 white and 3 black balls, 1 ball is drawn at random, then the probability that 2 white and 1 black ball will be drawn is:</p>		<p>17/32</p>		<p>11/32</p>		<p>13/32</p>		<p>15/32</p>				c					Active	M10STASAG41		N	0		1	
26187	0	SingleAnswer	4	Select the figure which satisfies the same conditions of placement of the dots as in fig. (X).	L07DOTMAN12q38.png	a		b		c		d				a	The correct answer for this question is figure (a).				Active	L07DOTMAN12		N	0		1	
27340	0	SingleAnswer	4	<p>________________ to a conclusion.</p>		<p>Insert</p>		<p>Come</p>		<p>Jump</p>		<p>None of the above</p>				c	<p>Jump to a conclusion means to reach unwarranted conclusions.</p>		0	<p>Fill in the blank with the correct preposition to complete the prepositional phrase or sentence:</p>	Active	E08PREVIM12		N	0		1	
27343	0	SingleAnswer	4	<p>Supply the utilities ________________ Kane.</p>		<p>to</p>		<p>for</p>		<p>at</p>		<p>in</p>				a	<p>To means expressing motion in the direction of.</p>		0	<p>Fill in the blank with the correct preposition to complete the prepositional phrase or sentence:</p>	Active	E08PREVIM12		N	0		1	
30963	30963	SingleAnswer	4	<p>Which of the following statements is/are true?</p> <p>A: Thermosetting plastic becomes irreversibly rigid when heated.<br />B: The thermosetting plastic is initially liquid or soft solid.</p>		<p>A only</p>		<p>B only</p>		<p>Both A and B</p>		<p>Neither A nor B</p>				c	<p>Initially, the thermosetting polymer is a liquid or soft solid. Heat provides energy for chemical reactions that increase the cross-linking between polymer chains, curing the plastic.</p>		1		Active	S08SYNVAR11		Synthetic Fibres and Plastics	0		1	
32097	0	<p>SingleAnswer</p>	4	<p>Find the sum of interior angles of a convex polygon of 18 sides.</p>		<p>2260&deg;</p>		<p>2560&deg;</p>		<p>2880&deg;</p>		<p>1080&deg;</p>				c	<p>Sum of interior angles = (n - 2) x 180</p>				Active	M08UNDRAS21		N	0		1	
32448	0	SingleAnswer	4	What moves one screen to the right?		Alt + Page Up		Arrow keys		Alt + F4		Alt + Page Down				a	Only Page Up moves one screen Up.				Active	C07MSEJYO21		N	0		1	
35283	0	SingleAnswer	4	Which company first developed the Java programming language?		Sun Microsystems		Google		Microsoft		IBM		F		a	Sun Microsystems first developed the Java programming language				Active	C03LATJYO12		N	0		1	
43988	43988	SingleAnswer	4	<p>What is MIP?</p>		<p>Microphone</p>		<p>Microprocessor</p>		<p>Micro paper</p>		<p>Microspore</p>				b	<p>It is a Microprocessor.</p>				Active	C07EVOTAN12		Evolution Of Computers	0		1	
55921	55921	SingleAnswer	4	<p>The Information Space where the documents and other web resources are identified by the URLs is called as the?</p>		<p>Domain Names</p>		<p>URL's</p>		<p>Intranet</p>		<p>World Wide Web</p>				d					Active	C07VIRJYO12		Internet and Viruses	0		1	
58124	58124	SingleAnswer	4	<p>Which of the following is the main function of the transport layer?</p>		<p>Node to node delivery</p>		<p>End to end delivery</p>		<p>Synchronization</p>		<p>Updating and maintaining routing tables</p>		C		b	<p>The main function of the transport layer is end to end delivery.</p>				Active	C04COMJYO12		Computer Networks	0		1	
58152	0	SingleAnswer	4	What is the full form of WAN?		Wide Area Network		Web Area Network		World Area Network		Weak Area Network		F		a					Active	C04COMJYO21		N	0		1	
58810	0	SingleAnswer	4	Another term for sound card is ________?		Chip		Memory Card		Video Card		Audio Card				d					Active	C05MULJYO21		N	0		1	
59422	0	<p>SingleAnswer</p>	4	<p>How much money does she spend on her classes in five months?</p>		<p>Rs.15,250</p>		<p>Rs.17,500</p>		<p>Rs.26,250</p>		<p>Rs.23,250</p>		F		c	<p>Money spent on classes every month= 1500 + (650 x 3) + (900 x 2)= Rs.5250</p> <p>Total money spent in 5 months= 5250 x 5=Rs.26,250</p>		1	<p>Mary spends Rs.1500 a&nbsp;month on her English classes, Rs.650 for every 10 days on her science classes and Rs.900 for every 15 days on her tennis classes.</p>	Active	M04COMRIA11		Computation Operations	0		1	
59853	0	SingleAnswer	4	For the following questions choose the statement expressed correctly		Please buy the following at the grocery store peas milk ice cream bananas.		Please buy the following at the grocery store: peas, milk, ice cream and bananas.		Please buy the following at the grocery store: Peas, Milk, Ice cream and Bananas.		Please buy the following at the grocery store: peas and milk and ice cream and bananas.				b	Before starting the list colon (:) should be used and while stating the material in the list the items should be separated using commas.				Active	E05SPOSHE11		N	0		1	
61228	0	SingleAnswer	4	The function key that is used to convert an object to a symbol is______?		F8		F10		F2		F1				a					Active	C09FLAJYO11		N	0		1	
62015	0	SingleAnswer	4	A utility that can be used to minimize the number of fragmented files and enhance the speed		Disk space		Defrag		Scandisk		Double space				b	Defrag is used to minimize the number of fragmented files and enhance the speed.				Active	C09OPEMAN32		N	0		1	
62768	0	SingleAnswer	4	"<p>She said, ""Need I write a letter.""</p>"		<p>She asked if she had to write a letter.</p>		<p>She asked if she needed to write a letter.</p>		<p>She asked if she was needed to write a letter.</p>		<p>She asked if she has needed to write a letter.</p>				a				<p>Convert the narration of the following:</p>	Active	E07VOIKAV31		N	0		1	
63923	0	SingleAnswer	4	<p>Which of the following attributes does not merge the cells of a TABLE in HTML? (NCO 2015)</p>		<p>Cellspacing</p>		<p>Rowspan</p>		<p>Colspan</p>		<p>Both A and B</p>		P		a	<p>&nbsp;The&nbsp;cellspacing&nbsp;attribute of <table>&nbsp;specifies the space, in pixels, between cells.</p>				Active	C09HTMMAN11		N	0		1	
64292	0	<p>SingleAnswer</p>	4	<p>A pendulum takes 0.5 s to make one oscillation about its mean position. How long will it take to make 5 oscillations?</p>		<p>5 s</p>		<p>7.5 s</p>		<p>2.5 s</p>		<p>10 s</p>				c	<p>Given time period for 1 oscillation = 0.5 s Time period for 5 oscillations =5&times;0.5=2.5s</p>				Active	S07MOTROH12		N	0		1	
65080	0	SingleAnswer	4	<p>Which of the following statements is/are true?</p> <p>A: The symbol of silicon is Si.<br />B: The symbol of gold is Go.</p>		<p>A only</p>		<p>B only</p>		<p>Both A and B</p>		<p>Neither A nor B</p>				a	<p>The symbol of gold is Au.</p>				Active	S09ATOTAN12		N	0		1	
